STATE,month,HLY-TEMP-NORMAL,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-DEWP-NORMAL,HLY-DEWP-10PCTL,HLY-DEWP-90PCTL,HLY-PRES-NORMAL,HLY-PRES-10PCTL,HLY-PRES-90PCTL,HLY-CLDH-NORMAL,HLY-HTDH-NORMAL,HLY-CLOD-PCTCLR,HLY-CLOD-PCTFEW,HLY-CLOD-PCTSCT,HLY-CLOD-PCTBKN,HLY-CLOD-PCTOVC,HLY-HIDX-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-AVGSPD,HLY-WIND-PCTCLM,HLY-WIND-VCTSPD,HLY-WIND-1STPCT,HLY-WIND-2NDPCT
Alabama,1,45.89630376344087,31.040574596774192,61.45625,35.78553427419355,16.40354502688172,55.92520161290322,1021.4933784264863,1012.6741367034532,1029.8112495550017,0.2694052419354839,19.37530241935484,42.42537369207773,8.611789985052315,5.0229073243647235,10.185967862481316,33.75358744394619,45.89630376344087,43.23240927419355,6.951142473118279,16.773672715053763,1.301360887096774,18.35692204301075,14.417422715053764
Alabama,2,49.67950148809524,35.92427455357142,63.8630394345238,38.478236607142854,20.950855654761902,57.46036086309524,1020.109946236559,1012.019316436252,1027.6687211981566,0.5674479166666666,15.889471726190477,41.035973944105905,9.10056734608111,5.577558310569448,11.203593191847025,33.08239125866779,49.67950148809524,47.60483630952381,7.252752976190475,15.624720982142858,1.2860119047619047,18.101525297619045,14.720721726190474
Alabama,3,56.74247311827957,43.46350806451613,69.17594086021505,43.79934475806452,26.681451612903224,60.0435315860215,1018.5263855001742,1010.5517079121646,1026.051516207738,1.7330309139784945,9.990809811827958,43.49885162231134,11.014855997083485,6.930331753554501,12.259442216551221,26.297211082756107,56.74247311827957,55.63518145161291,7.379200268817204,15.89475806451613,1.3475806451612904,17.609038978494624,14.86861559139785
Alabama,4,64.10199652777777,53.04151041666666,73.81812500000001,51.62776041666667,37.18630208333333,64.22293402777778,1016.6342941611235,1009.9635624538065,1022.8515705838876,3.908611111111111,4.806979166666666,45.16673249551167,12.8686355475763,8.37572710951526,13.518976660682226,20.06850987432675,64.10791666666667,63.81623263888889,6.918559027777778,18.1009375,1.7845138888888887,19.241354166666667,15.016631944444448
Alabama,5,71.80522513440859,62.84287634408603,79.0978998655914,60.43373655913978,48.98413978494623,68.87100134408601,1016.114919718564,1010.8498286126645,1021.1392928017318,8.212113575268818,1.405645161290323,43.97965413799188,15.967266631374626,11.162096347273689,14.43453326274925,14.456449620610552,72.33198924731182,71.77442876344087,5.879452284946237,22.252049731182797,1.6245799731182795,18.313978494623655,14.676444892473118
Alabama,6,77.95425347222222,71.29204861111111,83.69934027777778,67.65177083333333,60.50300347222222,72.95201388888889,1015.6636723163841,1011.3422033898304,1019.7627306967984,13.069479166666666,0.11277777777777778,41.80231279620853,17.517516587677726,13.175696682464455,15.991184834123223,11.512625592417063,80.13821180555556,77.94756944444444,5.1363715277777775,25.622170138888887,1.3621527777777778,17.393038194444443,14.069618055555555
Alabama,7,80.11260080645161,74.54554771505376,85.07770497311827,70.86384408602152,65.99578293010754,74.71854838709677,1016.5160938352428,1012.9528641571196,1019.8790325513729,15.1258064516129,0.011172715053763443,41.915453890489914,18.03955331412104,14.249909942363113,16.142795389048988,9.65326008645533,83.62205981182795,80.10593077956989,4.584979838709678,28.715625000000003,1.344758064516129,17.08748319892473,13.662399193548385
Alabama,8,79.49606854838709,73.67940188172042,84.65929099462365,69.99808467741936,64.08341733870968,74.42622647849461,1016.1264647197531,1012.4810629421366,1019.7683112642844,14.540272177419357,0.04186827956989247,45.27620768352986,17.47344998098136,13.001502472422974,14.493971091669835,9.754545454545456,82.59338037634407,79.48839045698924,4.438877688172043,30.238172043010753,1.0238407258064515,16.39648857526882,12.58707997311828
Alabama,9,74.91623263888889,66.98137152777777,81.65180555555555,64.4934375,54.829375,71.94555555555556,1016.419235074627,1012.0166791044777,1020.6838246268658,10.626944444444444,0.70625,47.85153007386563,15.660218079493493,10.802954625395708,12.732395357017234,12.953447062961658,76.25491319444444,74.90722222222222,5.148871527777778,25.719427083333333,1.9973263888888886,21.678715277777776,14.7853125
Alabama,10,64.73496303763442,53.58145161290322,74.87664650537634,54.177368951612905,40.057661290322585,66.94317876344087,1018.1670157068062,1012.0497201660951,1024.0728470843112,4.467506720430107,4.731938844086022,53.43116860260472,11.691341077085532,7.258447729672651,10.38523407250968,17.23533966913059,64.83652553763442,64.54354838709678,5.468145161290323,25.695396505376344,1.688592069892473,19.765540994623656,14.67059811827957
